datetime,Sector,Hydroelectric Power,Geothermal Energy,Solar Energy,Wind Energy,Wood Energy,Waste Energy,"Fuel Ethanol, Excluding Denaturant",Biomass Losses and Co-products,Biomass Energy,Total Renewable Energy,Renewable Diesel Fuel,Other Biofuels,Conventional Hydroelectric Power,Biodiesel
1973-01-01,Commerical,0.0,0.0,0.0,0.0,0.57,0.0,0.0,0.0,0.57,0.57,0.0,0.0,0.0,0.0
1973-01-01,Electric Power,0.0,0.49,0.0,0.0,0.054,0.157,0.0,0.0,0.211,89.223,0.0,0.0,88.522,0.0
1973-01-01,Industrial,1.04,0.0,0.0,0.0,98.933,0.0,0.0,0.0,98.933,99.973,0.0,0.0,0.0,0.0
1973-01-01,Residential,0.0,0.0,0.0,0.0,30.074,0.0,0.0,0.0,0.0,30.074,0.0,0.0,0.0,0.0
1973-01-01,Transportation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1973-02-01,Commerical,0.32066666666666666,0.224,0.0,0.0,0.515,0.072,0.0,0.0,0.515,0.515,0.0,0.0,39.291,0.0
1973-02-01,Electric Power,0.6413333333333333,0.448,0.0,0.0,0.157,0.144,0.0,0.0,0.301,79.331,0.0,0.0,78.582,0.0
1973-02-01,Industrial,0.962,0.4512,0.0,0.0,89.359,0.15039999999999998,0.0,0.0,89.359,90.32,0.0,0.0,80.30959999999999,0.0
1973-02-01,Residential,0.9823999999999999,0.4544,0.0,0.0,27.164,0.1568,0.0,0.0,59.76266666666666,27.164,0.0,0.0,82.0372,0.0
1973-02-01,Transportation,1.0028,0.4576,0.0,0.0,13.867,0.16319999999999998,0.0,0.0,30.166333333333327,13.867,0.0,0.0,83.7648,0.0
1973-03-01,Commerical,1.0232,0.46080000000000004,0.0,0.0,0.57,0.1696,0.0,0.0,0.57,0.57,0.0,0.0,85.4924,0.0
1973-03-01,Electric Power,1.0436,0.464,0.0,0.0,0.186,0.176,0.0,0.0,0.362,88.046,0.0,0.0,87.22,0.0
1973-03-01,Industrial,1.064,0.4796,0.0,0.0,98.933,0.17559999999999998,0.0,0.0,98.933,99.997,0.0,0.0,86.2032,0.0
1973-03-01,Residential,1.0544,0.49520000000000003,0.0,0.0,30.074,0.1752,0.0,0.0,66.13900000000001,30.074,0.0,0.0,85.18639999999999,0.0
1973-03-01,Transportation,1.0448,0.5108,0.0,0.0,15.3125,0.17479999999999998,0.0,0.0,33.345,15.3125,0.0,0.0,84.1696,0.0
1973-04-01,Commerical,1.0352000000000001,0.5264,0.0,0.0,0.551,0.1744,0.0,0.0,0.551,0.551,0.0,0.0,83.1528,0.0
1973-04-01,Electric Power,1.0256,0.542,0.0,0.0,0.066,0.174,0.0,0.0,0.24,82.917,0.0,0.0,82.136,0.0
1973-04-01,Industrial,1.016,0.5346000000000001,0.0,0.0,95.741,0.1812,0.0,0.0,95.741,96.758,0.0,0.0,82.6276,0.0
